global_step,seen_tokens,lr,recent_loss,val_ppl,best_val_ppl,patience_count
1000,32.8M,3.277e-06,8.2870,3991.01,3991.01,0
2000,65.5M,6.554e-06,8.2057,3573.91,3573.91,0
3000,98.3M,9.831e-06,7.9426,2826.66,3573.91,0
4000,131M,1.311e-05,7.5869,1955.10,1955.10,0
5000,164M,1.638e-05,7.2405,1366.07,1366.07,0
6000,197M,1.966e-05,6.9557,1022.34,1022.34,0
7000,229M,2.294e-05,6.7003,796.37,796.37,0
8000,262M,2.621e-05,6.4588,628.27,628.27,0
9000,295M,2.949e-05,6.2417,517.62,517.62,0
10000,328M,3.277e-05,6.0317,417.12,517.62,0
11000,360M,3.605e-05,5.8013,334.79,334.79,0
12000,393M,3.932e-05,5.6315,282.88,282.88,0
13000,426M,4.26e-05,5.4472,238.50,238.50,0
14000,459M,4.588e-05,5.2909,196.08,196.08,0
15000,492M,4.915e-05,5.1420,168.97,196.08,0
16000,524M,5.243e-05,5.0164,151.14,151.14,0
17000,557M,5.571e-05,4.8948,131.20,131.20,0
18000,590M,5.898e-05,4.7888,123.11,131.20,0
19000,623M,6.226e-05,4.7150,113.27,113.27,0
20000,655M,6.554e-05,4.6308,104.15,104.15,0
21000,688M,6.881e-05,4.5730,97.55,97.55,0
22000,721M,7.209e-05,4.5129,91.52,91.52,0
23000,754M,7.537e-05,4.4712,85.38,85.38,0
24000,786M,7.864e-05,4.4035,83.69,83.69,0
25000,819M,8.192e-05,4.3685,80.65,80.65,0
26000,852M,8.52e-05,4.3433,77.10,77.10,0
27000,885M,8.848e-05,4.3076,74.96,74.96,0
28000,918M,9.175e-05,4.2822,73.07,73.07,0
29000,950M,9.503e-05,4.2536,72.15,72.15,0
30000,983M,9.831e-05,4.2521,70.90,70.90,0
31000,1.02B,0.0001,4.2137,66.27,66.27,0
32000,1.05B,0.0001,4.1682,65.98,65.98,0
33000,1.08B,0.0001,4.1656,63.88,63.88,0
34000,1.11B,0.0001,4.1159,62.03,62.03,0
35000,1.15B,0.0001,4.1104,61.95,61.95,0
36000,1.18B,0.0001,4.0890,59.80,59.80,0
37000,1.21B,0.0001,4.0708,56.93,56.93,0
38000,1.25B,9.999e-05,4.0527,58.06,56.93,1
39000,1.28B,9.999e-05,4.0346,56.24,56.24,0
40000,1.31B,9.999e-05,4.0030,56.52,56.24,1
41000,1.34B,9.999e-05,3.9982,53.73,53.73,0
42000,1.38B,9.999e-05,3.9769,53.64,53.64,0
43000,1.41B,9.998e-05,3.9757,53.86,53.64,1
44000,1.44B,9.998e-05,3.9556,52.42,52.42,0
45000,1.47B,9.998e-05,3.9460,51.13,51.13,0
46000,1.51B,9.997e-05,3.9254,51.46,51.13,1
47000,1.54B,9.997e-05,3.9260,51.84,51.13,2
48000,1.57B,9.997e-05,3.8925,50.23,50.23,0
49000,1.61B,9.996e-05,3.8976,49.08,49.08,0
50000,1.64B,9.996e-05,3.8851,48.54,49.08,0
51000,1.67B,9.995e-05,3.8785,49.69,49.08,1
52000,1.7B,9.995e-05,3.8497,47.77,47.77,0
53000,1.74B,9.994e-05,3.8675,47.30,47.30,0
54000,1.77B,9.994e-05,3.8774,46.76,47.30,0
55000,1.8B,9.993e-05,3.8495,47.64,47.30,1
56000,1.84B,9.993e-05,3.8355,47.30,47.30,2
57000,1.87B,9.992e-05,3.8123,46.45,47.30,0
58000,1.9B,9.992e-05,3.8216,45.73,47.30,0
59000,1.93B,9.991e-05,3.8057,45.22,45.22,0
60000,1.97B,9.99e-05,3.8343,45.78,45.22,1
61000,2B,9.99e-05,3.7999,45.40,45.22,2
62000,2.03B,9.989e-05,3.7939,45.33,45.22,3
63000,2.06B,9.988e-05,3.8168,44.72,44.72,0
64000,2.1B,9.988e-05,3.7525,45.09,44.72,1
65000,2.13B,9.987e-05,3.7844,43.40,43.40,0
66000,2.16B,9.986e-05,3.7760,44.64,43.40,1
67000,2.2B,9.985e-05,3.7782,43.46,43.40,2
68000,2.23B,9.985e-05,3.7572,44.30,43.40,3
69000,2.26B,9.984e-05,3.7531,43.79,43.40,4
70000,2.29B,9.983e-05,3.7665,42.41,42.41,0
71000,2.33B,9.982e-05,3.7369,43.11,42.41,1
72000,2.36B,9.981e-05,3.7406,43.02,42.41,2
73000,2.39B,9.98e-05,3.7250,42.89,42.41,3
